"participantID","age","female","nonChinese","sesInc","sesLad","day","itemDisc1","itemDisc2","itemDisc3","itemDisc4","itemDisc5","itemDisc6","itemDisc7","itemDisc8","itemDisc9","itemDayCogFail01","itemDayCogFail02","itemDayCogFail03","itemDayCogFail04","itemDayCogFail05","itemDayCogFail06","itemDayCogFail07","itemDayCogFail08","itemDayCogFail09","itemDayCogFail10","itemDayCogFail11","itemDayCogFail12","itemDayCogFail13","itemDayStressorArgue","itemDayStressorAvoid","itemDayStressorWork","itemDayStressorHome","itemDayStressorDiscrimination","itemDayStressorNetwork","itemDayStressorOther"
"DISC-CF-3164",18,1,1,3,7,7,2,3,3,4,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3165",24,1,0,3,5,1,2,2,2,3,2,2,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3165",24,1,0,3,5,2,2,2,2,3,2,2,3,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"DISC-CF-3165",24,1,0,3,5,3,2,2,2,3,2,2,3,3,3,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0
"DISC-CF-3165",24,1,0,3,5,4,2,2,2,3,2,2,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"DISC-CF-3165",24,1,0,3,5,5,2,2,2,3,2,2,3,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"DISC-CF-3165",24,1,0,3,5,6,2,2,2,3,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3165",24,1,0,3,5,7,2,2,2,3,2,2,3,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3166",18,1,1,4,6,1,3,3,3,2,2,2,3,2,2,1,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
"DISC-CF-3166",18,1,1,4,6,2,3,3,3,2,2,2,3,2,2,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3166",18,1,1,4,6,3,3,3,3,2,2,2,3,2,2,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0
"DISC-CF-3166",18,1,1,4,6,4,3,3,3,2,2,2,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DISC-CF-3166",18,1,1,4,6,5,3,3,3,2,2,2,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"DISC-CF-3166",18,1,1,4,6,6,3,3,3,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DISC-CF-3166",18,1,1,4,6,7,3,3,3,2,2,2,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DISC-CF-3167",21,1,0,5,6,1,2,2,2,4,3,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DISC-CF-3167",21,1,0,5,6,2,2,2,2,4,3,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DISC-CF-3167",21,1,0,5,6,3,2,2,2,4,3,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3167",21,1,0,5,6,4,2,2,2,4,3,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3167",21,1,0,5,6,5,2,2,2,4,3,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3167",21,1,0,5,6,6,2,2,2,4,3,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3167",21,1,0,5,6,7,2,2,2,4,3,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"DISC-CF-3168",22,1,0,4,6,1,2,3,2,3,3,3,3,2,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3168",22,1,0,4,6,2,2,3,2,3,3,3,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"DISC-CF-3168",22,1,0,4,6,3,2,3,2,3,3,3,3,2,2,2,1,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0
"DISC-CF-3168",22,1,0,4,6,4,2,3,2,3,3,3,3,2,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3168",22,1,0,4,6,5,2,3,2,3,3,3,3,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3168",22,1,0,4,6,6,2,3,2,3,3,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3168",22,1,0,4,6,7,2,3,2,3,3,3,3,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3169",23,1,0,1,7,1,3,4,2,3,3,1,4,2,1,0,2,0,1,2,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0
"DISC-CF-3169",23,1,0,1,7,2,3,4,2,3,3,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISC-CF-3169",23,1,0,1,7,3,3,4,2,3,3,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"DISC-CF-3169",23,1,0,1,7,4,3,4,2,3,3,1,4,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3169",23,1,0,1,7,5,3,4,2,3,3,1,4,2,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"DISC-CF-3169",23,1,0,1,7,6,3,4,2,3,3,1,4,2,1,2,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"DISC-CF-3169",23,1,0,1,7,7,3,4,2,3,3,1,4,2,1,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0
